"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Alcohol-related hospital admissions","Scotland","S00000001","Scotland",2010,"2010/11 financial year",38976,759.79,752.2,767.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Culter","S02001236","Intermediate zone",2010,"2010/11 financial year",24,475.18,299.39,715.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cults, Bieldside & Milltimber West","S02001237","Intermediate zone",2010,"2010/11 financial year",24,732.32,452.81,1114.28,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cults, Bieldside & Milltimber East","S02001238","Intermediate zone",2010,"2010/11 financial year",24,372.46,233.27,562.68,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Garthdee","S02001239","Intermediate zone",2010,"2010/11 financial year",60,1306.45,985.89,1695.69,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Braeside, Mannofield, Broomhill & Seafield East","S02001240","Intermediate zone",2010,"2010/11 financial year",15,359.21,203.17,586.3,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Braeside, Mannofield, Broomhill & Seafield South","S02001241","Intermediate zone",2010,"2010/11 financial year",15,416.62,227.56,695.22,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Braeside, Mannofield, Broomhill & Seafield North","S02001242","Intermediate zone",2010,"2010/11 financial year",9,233.21,109.86,431.78,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hazlehead","S02001243","Intermediate zone",2010,"2010/11 financial year",30,601.08,404.94,857.64,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Summerhill","S02001244","Intermediate zone",2010,"2010/11 financial year",45,1252.81,913.99,1675.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Midstocket","S02001245","Intermediate zone",2010,"2010/11 financial year",12,275.05,145.88,471.03,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Rosemount","S02001246","Intermediate zone",2010,"2010/11 financial year",42,1055.07,724.98,1470.69,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","West End North","S02001247","Intermediate zone",2010,"2010/11 financial year",12,422.91,213.12,746.74,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","West End South","S02001248","Intermediate zone",2010,"2010/11 financial year",27,474.19,290.4,720.67,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","City Centre West-Aberdeen City","S02001249","Intermediate zone",2010,"2010/11 financial year",51,1701.9,1222.42,2292.78,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","City Centre East-Aberdeen City","S02001250","Intermediate zone",2010,"2010/11 financial year",42,1936.62,1304.74,2732.22,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ferryhill North","S02001251","Intermediate zone",2010,"2010/11 financial year",21,496.69,287.37,784.78,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ferryhill South","S02001252","Intermediate zone",2010,"2010/11 financial year",21,511.25,309.64,788.74,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kincorth, Leggart & Nigg North","S02001253","Intermediate zone",2010,"2010/11 financial year",63,1522.25,1164.59,1953.78,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
