area_name,area_code,year,alcohol_admissions,health_board
Culter,S02001236,2010,475.18,Grampian
"Cults, Bieldside & Milltimber West",S02001237,2010,732.32,Grampian
"Cults, Bieldside & Milltimber East",S02001238,2010,372.46,Grampian
Garthdee,S02001239,2010,1306.45,Grampian
"Braeside, Mannofield, Broomhill & Seafield East",S02001240,2010,359.21,Grampian
"Braeside, Mannofield, Broomhill & Seafield South",S02001241,2010,416.62,Grampian
"Braeside, Mannofield, Broomhill & Seafield North",S02001242,2010,233.21,Grampian
Hazlehead,S02001243,2010,601.08,Grampian
Summerhill,S02001244,2010,1252.81,Grampian
Midstocket,S02001245,2010,275.05,Grampian
Rosemount,S02001246,2010,1055.07,Grampian
West End North,S02001247,2010,422.91,Grampian
West End South,S02001248,2010,474.19,Grampian
City Centre West-Aberdeen City,S02001249,2010,1701.9,Grampian
City Centre East-Aberdeen City,S02001250,2010,1936.62,Grampian
Ferryhill North,S02001251,2010,496.69,Grampian
Ferryhill South,S02001252,2010,511.25,Grampian
"Kincorth, Leggart & Nigg North",S02001253,2010,1522.25,Grampian
"Kincorth, Leggart & Nigg South",S02001254,2010,730.65,Grampian
Cove South,S02001255,2010,248.64,Grampian
Cove North,S02001256,2010,720,Grampian
Torry West,S02001257,2010,1716.22,Grampian
Torry East,S02001258,2010,2273.37,Grampian
Hanover South,S02001259,2010,1393.03,Grampian
Hanover North,S02001260,2010,1283.85,Grampian
George Street,S02001261,2010,2307.82,Grampian
Ashgrove,S02001262,2010,1261.03,Grampian
"Froghall, Powis & Sunnybank",S02001263,2010,709.59,Grampian
Seaton,S02001264,2010,2192.25,Grampian
Old Aberdeen,S02001265,2010,1775.31,Grampian
Tillydrone,S02001266,2010,1682.58,Grampian
Woodside-Abeerdeen City,S02001267,2010,3250.09,Grampian
Hilton,S02001268,2010,1458.38,Grampian
Stockethill,S02001269,2010,2151.63,Grampian
Mastrick,S02001270,2010,1243.37,Grampian
Sheddocksley,S02001271,2010,824.45,Grampian
Cummings Park,S02001272,2010,921.99,Grampian
Northfield,S02001273,2010,1138.49,Grampian
Heathryfold & Middlefield,S02001274,2010,1813.17,Grampian
Kingswells,S02001275,2010,321.92,Grampian
Bucksburn South,S02001276,2010,601.58,Grampian
Bucksburn North,S02001277,2010,683.41,Grampian
Dyce,S02001278,2010,350.96,Grampian
Danestone,S02001279,2010,129.78,Grampian
Oldmachar West,S02001280,2010,299.92,Grampian
Oldmachar East,S02001281,2010,377.42,Grampian
Balgownie & Donmouth West,S02001282,2010,476.99,Grampian
Balgownie & Donmouth East,S02001283,2010,496.51,Grampian
Denmore,S02001284,2010,0,Grampian
East Cairngorms,S02001285,2010,515.47,Grampian
Aboyne & South Deeside,S02001286,2010,282.69,Grampian
Mearns & Laurencekirk,S02001287,2010,271.92,Grampian
Mearns South & Benholm,S02001288,2010,308.13,Grampian
Mearns North & Inverbervie,S02001289,2010,472.96,Grampian
"Fetteresso, Netherley & Catter",S02001290,2010,225.56,Grampian
Stonehaven South,S02001291,2010,331.1,Grampian
Stonehaven North,S02001292,2010,495.39,Grampian
Newtonhill,S02001293,2010,106.41,Grampian
Portlethen,S02001294,2010,394.7,Grampian
Banchory-Devenick & Findon,S02001295,2010,916.51,Grampian
"Dunecht, Durris & Drumoak",S02001296,2010,250.86,Grampian
Banchory East,S02001297,2010,319.36,Grampian
Banchory West,S02001298,2010,650.66,Grampian
Crathes & Torphins,S02001299,2010,150.15,Grampian
Cromar & Kildrummy,S02001300,2010,253.47,Grampian
Howe of Alford,S02001301,2010,514.77,Grampian
Kemnay,S02001302,2010,425.46,Grampian
